Feature,Coefficient,Abs_Coefficient
power_to_weight,-6.723911177148537,6.723911177148537
weight,-6.086581407324961,6.086581407324961
horsepower,5.811826550271541,5.811826550271541
displacement,4.488228219236705,4.488228219236705
displacement_per_cyl,-4.321801081523664,4.321801081523664
cyl_4,3.1418662195896103,3.1418662195896103
cylinders,-2.6934101207202725,2.6934101207202725
cyl_6,-2.254985520796693,2.254985520796693
cyl_8,-1.2821938801787387,1.2821938801787387
origin_japan,0.7191885890613049,0.7191885890613049
acceleration,0.6324316273765674,0.6324316273765674
model_year,0.5552935694439035,0.5552935694439035
origin_usa,-0.39410330573684516,0.39410330573684516
origin_europe,-0.1931141627904279,0.1931141627904279
