Feature,Coefficient,Abs_Coefficient
smoker_bmi,18589.9810820542,18589.9810820542
smoker_yes,-8536.207369265569,8536.207369265569
age,2854.482770400987,2854.482770400987
bmi,-1563.2193576032546,1563.2193576032546
bmi_category,1328.034241619457,1328.034241619457
age_bmi,1224.4718564498162,1224.4718564498162
children,568.5395126595419,568.5395126595419
region_northeast,309.5811467908308,309.5811467908308
sex_male,-270.66928052748807,270.66928052748807
region_southwest,-247.25121068726463,247.25121068726463
age_group,-202.69030210622054,202.69030210622054
region_southeast,-56.46222080464988,56.46222080464988
region_northwest,-5.7987005917222145,5.7987005917222145
