Feature,Coefficient,Abs_Coefficient
smoker_x_bmi,18650.352056273856,18650.352056273856
smoker_yes,-8627.301622075662,8627.301622075662
age,3956.1150585525515,3956.1150585525515
bmi,-1395.4289631405234,1395.4289631405234
bmi_obese,980.5699823598393,980.5699823598393
children,695.6117179820525,695.6117179820525
bmi_overweight,-601.0143533523302,601.0143533523302
age_young,507.3570919578925,507.3570919578925
bmi_normal,-495.5180520480055,495.5180520480055
age_middle,-377.21703015696613,377.21703015696613
age_x_bmi,291.3542952317215,291.3542952317215
region_northeast,288.34389849665104,288.34389849665104
sex_male,-278.67950097349114,278.67950097349114
bmi_underweight,-257.605376130512,257.605376130512
region_southwest,-234.08655201445902,234.08655201445902
age_senior,-109.06845200296344,109.06845200296344
region_southeast,-57.01671493132535,57.01671493132535
age_x_smoker,23.435594498492378,23.435594498492378
region_northwest,3.0133081305313167,3.0133081305313167
