Feature,Coefficient,Abs_Coefficient
education_index,-0.6185618216441607,0.6185618216441607
inflation_rate,0.4314147614503802,0.4314147614503802
gdp_x_inflation,-0.4186224841862054,0.4186224841862054
technology_index,-0.20648789621608904,0.20648789621608904
labor_x_urban,0.20249941821109826,0.20249941821109826
education_x_tech,0.19553654961472697,0.19553654961472697
education_low,-0.1797711804810878,0.1797711804810878
urban_population,-0.17623734072942693,0.17623734072942693
education_high,0.16659256428029395,0.16659256428029395
post_2008_crisis,-0.1412775377870044,0.1412775377870044
year,0.11825578839484156,0.11825578839484156
year_normalized,0.11825578839484134,0.11825578839484134
trade_openness,-0.1163591578939585,0.1163591578939585
labor_force_participation,-0.10632202362308414,0.10632202362308414
gdp_strong,0.09203927370070193,0.09203927370070193
interest_rate,0.08693774058828861,0.08693774058828861
gdp_growth,-0.07055979974174117,0.07055979974174117
post_2020_pandemic,-0.06891613379035488,0.06891613379035488
gdp_slow,-0.05393646065152471,0.05393646065152471
inflation_low,0.05244013381327939,0.05244013381327939
education_medium,0.04694793975616645,0.04694793975616645
government_spending,0.043019816877198275,0.043019816877198275
inflation_high,-0.04228528488658826,0.04228528488658826
gdp_recession,-0.028519405196516634,0.028519405196516634
gdp_moderate,-0.0232154143695386,0.0232154143695386
population_growth,0.01936752012298357,0.01936752012298357
inflation_target,-0.011307735738753875,0.011307735738753875
