CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,39,87,72
2,Female,38,113,91
3,Male,27,103,98
4,Male,36,131,91
5,Male,31,83,63
6,Female,28,117,89
7,Male,33,84,96
8,Male,27,131,82
9,Male,29,109,98
10,Female,27,122,74
11,Male,31,93,88
12,Male,29,95,95
13,Male,33,129,72
14,Male,31,110,91
15,Female,26,98,66
16,Male,28,84,81
17,Female,33,114,87
18,Female,36,134,61
19,Female,38,78,65
20,Male,26,70,87
21,Female,34,77,87
22,Male,33,132,79
23,Female,34,80,89
24,Female,29,77,70
25,Female,26,104,87
26,Female,28,104,84
27,Female,36,102,98
28,Female,39,74,92
29,Female,36,110,60
30,Female,31,97,86
31,Male,36,76,72
32,Male,37,81,62
33,Female,32,103,98
34,Female,39,102,65
35,Female,27,117,67
36,Male,38,92,86
37,Female,25,131,68
38,Male,28,106,96
39,Male,26,113,92
40,Male,32,104,83
41,Male,28,134,74
42,Male,26,116,91
43,Female,38,72,91
44,Female,30,70,83
45,Female,30,74,71
46,Female,34,83,98
47,Female,28,96,61
48,Male,30,78,62
49,Female,37,84,96
50,Female,39,111,76
51,Male,38,105,29
52,Male,53,107,31
53,Female,37,94,35
54,Female,53,87,33
55,Female,54,135,21
56,Female,41,123,32
57,Male,54,104,23
58,Male,43,130,33
59,Female,35,110,3
60,Male,42,102,18
61,Male,41,137,25
62,Male,52,102,31
63,Female,42,83,3
64,Female,35,90,24
65,Male,45,117,32
66,Female,59,89,22
67,Female,59,77,23
68,Female,52,76,2
69,Female,57,136,27
70,Female,44,86,2
71,Male,37,102,26
72,Female,41,117,17
73,Male,50,128,33
74,Male,50,91,9
75,Female,59,99,39
76,Male,54,107,29
77,Male,51,120,26
78,Male,36,123,35
79,Female,35,77,25
80,Female,50,96,24
81,Male,46,96,13
82,Female,39,90,7
83,Female,39,99,36
84,Female,57,97,20
85,Female,43,133,1
86,Male,43,138,8
87,Male,37,130,16
88,Female,53,117,14
89,Female,50,88,12
90,Male,50,73,23
91,Male,37,104,15
92,Female,54,133,28
93,Male,58,118,34
94,Female,56,86,2
95,Female,58,113,32
96,Male,35,99,23
97,Male,58,115,22
98,Female,54,75,25
99,Female,45,106,22
100,Male,51,93,22
101,Male,31,47,36
102,Female,40,44,25
103,Female,20,37,21
104,Female,45,24,36
105,Male,45,19,10
106,Female,20,48,37
107,Male,34,45,9
108,Female,21,24,24
109,Male,49,33,35
110,Male,41,46,35
111,Female,35,15,36
112,Male,44,19,18
113,Female,27,18,39
114,Female,32,30,32
115,Female,40,38,24
116,Male,20,30,23
117,Male,35,16,32
118,Female,48,42,37
119,Female,26,46,12
120,Male,24,41,13
121,Female,41,34,23
122,Female,48,38,25
123,Female,42,26,35
124,Male,22,49,30
125,Male,31,47,17
126,Male,45,47,20
127,Female,35,26,25
128,Female,38,17,22
129,Female,24,15,13
130,Male,41,47,19
131,Female,44,24,36
132,Female,48,43,12
133,Female,33,27,19
134,Female,47,26,12
135,Male,24,45,9
136,Male,34,16,7
137,Female,36,49,28
138,Male,49,37,14
139,Male,33,31,31
140,Female,49,40,19
141,Female,39,22,16
142,Male,24,43,5
143,Female,31,40,35
144,Male,35,24,12
145,Female,45,40,25
146,Male,45,48,21
147,Female,35,21,36
148,Male,40,18,23
149,Male,26,25,16
150,Male,23,43,39
151,Male,21,41,72
152,Male,21,31,63
153,Female,23,23,60
154,Female,29,47,99
155,Male,24,34,91
156,Female,27,27,93
157,Male,24,42,87
158,Female,20,43,90
159,Male,30,27,67
160,Male,30,49,98
161,Male,25,20,85
162,Male,26,32,93
163,Male,24,19,62
164,Male,18,39,71
165,Female,20,16,60
166,Male,30,24,64
167,Female,34,44,89
168,Male,18,19,89
169,Female,23,47,76
170,Female,23,15,82
171,Female,29,32,74
172,Male,30,46,96
173,Male,30,25,80
174,Female,32,35,73
175,Male,33,40,61
176,Female,28,39,70
177,Male,22,36,98
178,Female,21,41,97
179,Female,20,27,93
180,Male,32,47,97
181,Female,26,48,93
182,Male,34,49,77
183,Female,31,15,89
184,Female,32,35,74
185,Male,18,20,86
186,Male,20,42,93
187,Male,33,31,97
188,Female,28,19,92
189,Male,29,45,83
190,Female,27,19,74
191,Female,33,17,89
192,Male,25,37,76
193,Male,23,24,64
194,Female,29,24,88
195,Female,25,33,63
196,Male,21,31,69
197,Male,25,35,76
198,Male,22,28,69
199,Male,26,23,76
200,Male,21,15,79
