Classifier,Method,n_bands,accuracy,train_time,pred_time,cv_mean,cv_std,variance_explained,band_reduction_%
Random Forest,Original,100,0.6075,2.224411725997925,0.06972098350524902,0.59203125,0.015272588291609247,,
SVM,Original,100,0.8825,5.006537199020386,1.4314792156219482,0.8543749999999999,0.007727664386798906,,
Random Forest,PCA-5,5,0.224375,0.8184425830841064,0.08467435836791992,0.22875,0.00984994844529655,0.17526969767552117,95.0
SVM,PCA-5,5,0.2875,1.720198392868042,0.8044698238372803,0.26312499999999994,0.007516258419253558,0.17526969767552117,95.0
Random Forest,PCA-10,10,0.31375,0.8930878639221191,0.07404899597167969,0.31984375,0.010229304564583066,0.30907352925387555,90.0
SVM,PCA-10,10,0.370625,1.7794549465179443,0.782010555267334,0.3509375,0.01216745145870736,0.30907352925387555,90.0
Random Forest,PCA-20,20,0.453125,1.0187478065490723,0.07591843605041504,0.4375,0.008755578578826187,0.49831643636324835,80.0
SVM,PCA-20,20,0.569375,2.1610543727874756,0.8662075996398926,0.5464062500000001,0.010347950431124044,0.49831643636324835,80.0
Random Forest,PCA-30,30,0.544375,1.1032257080078125,0.07032942771911621,0.52828125,0.016700486519859205,0.6340881437754375,70.0
SVM,PCA-30,30,0.705,2.7610294818878174,1.2440235614776611,0.688125,0.019599256602611224,0.6340881437754375,70.0
Random Forest,PCA-50,50,0.56875,1.6079988479614258,0.09314799308776855,0.5421874999999999,0.01407985040758602,0.8423722956886942,50.0
SVM,PCA-50,50,0.79125,2.49180269241333,1.072662353515625,0.76234375,0.014212739114083548,0.8423722956886942,50.0
Random Forest,PCA-75,75,0.619375,1.624504566192627,0.0713803768157959,0.583125,0.012358574958303248,0.9999999999999999,25.0
SVM,PCA-75,75,0.8825,4.199750900268555,1.312089204788208,0.8543749999999999,0.007727664386798906,0.9999999999999999,25.0
