Classifier,Method,n_components,ROC_AUC,Variance_Explained
KNN,Original,30,0.8569172773144828,
SVM,Original,30,0.9054446653101071,
KNN,PCA-5,5,0.6061027535021584,0.5758908241385481
SVM,PCA-5,5,0.7176954563097662,0.5758908241385481
KNN,PCA-10,10,0.7368808736870581,0.8341508139557197
SVM,PCA-10,10,0.8589668191815947,0.8341508139557197
KNN,PCA-15,15,0.8288470812406638,0.9423747714162652
SVM,PCA-15,15,0.87192862771851,0.9423747714162652
KNN,PCA-20,20,0.8569172773144828,1.0
SVM,PCA-20,20,0.9054446653101071,1.0
