noise_level,method,n_components,test_accuracy,cv_mean,cv_std
0.0,Original,30,0.9824561403508771,0.9758241758241759,0.01281527888976989
0.0,PCA-10,10,0.9649122807017544,0.9736263736263737,0.016446845656149216
0.0,PCA-15,15,0.9824561403508771,0.9758241758241759,0.01281527888976989
0.0,PCA-20,20,0.9824561403508771,0.9714285714285715,0.020381579110979577
0.1,Original,30,0.956140350877193,0.9758241758241759,0.01281527888976989
0.1,PCA-10,10,0.956140350877193,0.9736263736263737,0.016446845656149216
0.1,PCA-15,15,0.956140350877193,0.9758241758241759,0.01281527888976989
0.1,PCA-20,20,0.956140350877193,0.9736263736263737,0.016446845656149216
0.2,Original,30,0.956140350877193,0.9692307692307693,0.02241327258722102
0.2,PCA-10,10,0.9649122807017544,0.9692307692307693,0.02241327258722102
0.2,PCA-15,15,0.956140350877193,0.9692307692307693,0.01615048182054843
0.2,PCA-20,20,0.956140350877193,0.9692307692307693,0.02241327258722102
0.3,Original,30,0.9649122807017544,0.9648351648351647,0.027274008013166717
0.3,PCA-10,10,0.9649122807017544,0.9692307692307691,0.02241327258722105
0.3,PCA-15,15,0.956140350877193,0.9692307692307691,0.02544139978635215
0.3,PCA-20,20,0.956140350877193,0.9670329670329669,0.02505880055162941
0.5,Original,30,0.956140350877193,0.9692307692307693,0.01281527888976988
0.5,PCA-10,10,0.9385964912280702,0.9692307692307691,0.008223422828074567
0.5,PCA-15,15,0.9473684210526315,0.9692307692307691,0.008223422828074567
0.5,PCA-20,20,0.9473684210526315,0.9758241758241759,0.016150481820548422
1.0,Original,30,0.9035087719298246,0.9274725274725274,0.021533975760731267
1.0,PCA-10,10,0.9122807017543859,0.9252747252747252,0.02241327258722106
1.0,PCA-15,15,0.9122807017543859,0.9296703296703297,0.011206636293610512
1.0,PCA-20,20,0.9122807017543859,0.9230769230769231,0.013900121583157697
