Feature,PCA_Contribution,Original_Importance
Feature_29,0.04182721659401111,0.020895134363519127
Feature_20,0.04097473252373444,0.025803879848654575
Feature_3,0.03952853709493097,0.018226407530987233
Feature_31,0.03670125942184138,0.017394799586082844
Feature_33,0.03658718384396597,0.016054856318905904
Feature_32,0.034929193691331475,0.016543999886767313
Feature_26,0.034099778790549304,0.018921192300691468
Feature_45,0.031074353067569532,0.019098173502096513
Feature_41,0.02997238241948735,0.021256171932474956
Feature_30,0.027151650444090417,0.025219801854022398
Feature_4,0.026076626642748724,0.02194797875669401
Feature_38,0.025402697382653862,0.01889146214652828
Feature_1,0.022602457231083575,0.01960558570588064
Feature_28,0.02245816475803244,0.025616143644244815
Feature_24,0.02226296987181275,0.017316531401430545
Feature_23,0.022247592290857602,0.02346324543268466
Feature_5,0.022154163319423627,0.018332852375481705
Feature_25,0.021850179026322664,0.022689887853704356
Feature_42,0.021065963303239055,0.022496128853531683
Feature_47,0.020908336541004626,0.027294810510338236
Feature_6,0.02065939886149267,0.018101808448733655
Feature_16,0.020543918929136894,0.019054453459140263
Feature_46,0.020472637453268768,0.020565620904903294
Feature_2,0.020385516499791388,0.020283716906949304
Feature_43,0.019757836994327354,0.01948205324893927
Feature_48,0.019674499730840588,0.018501870661150676
Feature_14,0.019660842331771348,0.021702018135184374
Feature_19,0.019351940214873794,0.017655111285020245
Feature_13,0.019160264539200295,0.01802635545364995
Feature_9,0.01867968584856951,0.027801612825307555
Feature_36,0.017426272020586574,0.0206738889932666
Feature_7,0.016911256447996865,0.019574742312226525
Feature_17,0.01631298684682637,0.01976971533815261
Feature_37,0.015248325340910794,0.02204695723057952
Feature_40,0.014742018284271846,0.017829341478432046
Feature_15,0.014707025594850452,0.022084542770606338
Feature_22,0.014575087677401002,0.02184031087533818
Feature_18,0.014471842382732612,0.024489245518202925
Feature_11,0.013967908217854574,0.019063786903205388
Feature_44,0.011944115167196786,0.01788764642468743
Feature_0,0.011862576517502025,0.01901103237588136
Feature_8,0.011834049344914055,0.021584052524697146
Feature_34,0.011537631685291913,0.02333305936113179
Feature_39,0.010471850952529584,0.02726276763434702
Feature_27,0.009499038517179117,0.02516280200061621
Feature_35,0.005827419599308845,0.012334410256492234
Feature_12,0.0034065848136874723,0.0120648751370658
Feature_49,0.003089522735463589,0.011703735866988772
Feature_10,0.0023468774884294165,0.012131496135409058
Feature_21,0.0015956307031026247,0.011907925728973241
