Classifier,Method,n_components,accuracy,precision,recall,f1_score,cv_mean,cv_std,variance_explained
SVM,Original,14,0.9425,0.9527649769585254,0.9178690344062154,0.9349915206331261,0.9445,0.0038810436740650367,
KNN,Original,14,0.9265,0.9323394495412844,0.902330743618202,0.9170896785109983,0.9321249999999999,0.006478329259924968,
SVM,PCA-2,2,0.7235,0.7169576059850374,0.6381798002219756,0.6752789195537288,0.73375,0.007796233064756332,0.35536943539456595
KNN,PCA-2,2,0.687,0.6529477196885428,0.6514983351831298,0.6522222222222223,0.6940000000000001,0.00451732774989817,0.35536943539456595
SVM,PCA-4,4,0.762,0.721584984358707,0.7680355160932297,0.7440860215053764,0.7922499999999999,0.006621461319074492,0.5438203593803532
KNN,PCA-4,4,0.7335,0.6945031712473573,0.7291897891231964,0.7114239306984299,0.7692500000000001,0.003695436374773624,0.5438203593803532
SVM,PCA-6,6,0.846,0.8219326818675353,0.8401775804661488,0.8309549945115258,0.84825,0.008027297179001166,0.694829455010584
KNN,PCA-6,6,0.82,0.7918015102481122,0.8146503884572697,0.8030634573304157,0.82725,0.008455767262643863,0.694829455010584
SVM,PCA-8,8,0.8655,0.8503325942350333,0.8512763596004439,0.8508042151968941,0.8717500000000001,0.006793839120850583,0.8295386977447037
KNN,PCA-8,8,0.8315,0.8051948051948052,0.8257491675915649,0.8153424657534246,0.8425,0.005590169943749464,0.8295386977447037
SVM,PCA-10,10,0.915,0.9139297848244621,0.8956714761376249,0.9047085201793722,0.916375,0.007800240380911343,0.9378402946869052
KNN,PCA-10,10,0.8805,0.8719101123595505,0.8612652608213096,0.8665549972082636,0.893,0.007020060541049484,0.9378402946869052
SVM,PCA-12,12,0.9425,0.9527649769585254,0.9178690344062154,0.9349915206331261,0.9445,0.0038810436740650367,0.9999999999999999
KNN,PCA-12,12,0.9265,0.9323394495412844,0.902330743618202,0.9170896785109983,0.9321249999999999,0.006478329259924968,0.9999999999999999
